Customer_ID,Cluster_Label,Predicted_Churn,Churn_Probability,Predicted_Next_Quarter_Revenue,Risk_Score,Revenue_Potential_Score,Engagement_Score,Engagement_Level
13046,Discount-Heavy Stable,0,1.5714095450849126e-08,1122.8788,9.79,29.44,49.97,Low
14168,At-Risk SMB,0,2.561157781556102e-09,3195.0078,8.49,18.42,21.65,Low
11021,Discount-Heavy Stable,0,1.6345916719834495e-09,182.60333,9.5,29.14,48.32,Low
14889,At-Risk SMB,0,1.0615326398955132e-09,1249.3877,19.37,21.5,34.88,Low
12226,High Revenue Loyal,0,2.835335332970029e-09,7569.7812,6.56,53.35,82.2,High
10531,High-Growth Startup,0,2.318510932281366e-09,11934.619,8.7,45.06,57.06,Medium
10066,High-Growth Startup,0,3.845460339645298e-09,1380.1349,7.76,31.6,50.46,Medium
14854,High Revenue Loyal,0,3.0705052547906286e-09,21460.541,7.18,70.13,84.44,High
12427,High Revenue Loyal,0,2.7444646222708083e-10,200.9336,6.78,40.46,72.58,Medium
10411,High-Growth Startup,0,2.422199909907863e-09,2910.9504,8.16,29.94,44.49,Low
14747,At-Risk SMB,0,2.6980109159359783e-09,731.13904,10.19,21.75,31.77,Low
10682,High Revenue Loyal,0,2.40443167477529e-09,26259.633,6.56,71.52,78.79,High
12032,At-Risk SMB,0,3.3493554706266657e-07,-107.43292,16.95,20.57,35.68,Low
13972,High Revenue Loyal,0,2.835335332970029e-09,15671.968,7.87,60.2,76.44,High
11407,Discount-Heavy Stable,0,3.341620968810214e-09,5235.6045,7.98,41.4,62.48,Medium
10834,High-Growth Startup,0,4.472843801329865e-09,213.35664,8.74,31.92,56.81,Medium
10627,High-Growth Startup,0,3.3437492758092027e-10,232.38274,9.9,38.71,67.88,Medium
13438,At-Risk SMB,0,1.4848122837099787e-09,2072.4312,8.78,21.12,29.37,Low
12064,High Revenue Loyal,0,2.835335332970029e-09,26616.646,7.36,76.95,90.3,High
13520,High-Growth Startup,0,3.0594135564765134e-09,13602.8,9.79,46.94,52.89,Medium
10438,At-Risk SMB,0,1.0399455217525445e-08,577.4822,10.04,12.95,17.35,Low
13045,High-Growth Startup,0,1.8803970051816345e-08,241.97195,9.54,26.09,50.29,Medium
12575,At-Risk SMB,0,1.8669405265235463e-09,2012.7345,11.32,22.26,34.91,Low
10978,At-Risk SMB,0,1.9073835393731403e-09,1641.465,12.27,22.6,33.4,Low
11627,At-Risk SMB,0,1.4361201534340087e-06,74.32845,13.12,13.55,21.09,Low
11967,High-Growth Startup,0,2.471214507338004e-09,11818.494,7.36,48.18,58.57,Medium
11323,High Revenue Loyal,0,3.2591941586487253e-09,2922.563,7.76,45.06,76.65,High
10241,Discount-Heavy Stable,0,3.6666715738950155e-09,4615.5835,7.36,36.71,54.45,Medium
10423,High Revenue Loyal,0,3.901670680296533e-09,8605.136,7.32,49.28,75.37,High
11488,At-Risk SMB,1,0.9999852733278564,42.980225,67.09,19.21,36.68,Low
10024,Discount-Heavy Stable,0,8.241620400338862e-08,61.21033,7.83,27.5,44.36,Low
12965,High Revenue Loyal,0,2.874481810685537e-09,11336.803,7.58,50.49,69.59,Medium
10034,At-Risk SMB,1,0.9999999985206652,-345.7495,62.27,20.99,36.27,Low
14303,Discount-Heavy Stable,0,4.888606623322792e-08,150.50208,11.28,34.07,62.33,Medium
11422,At-Risk SMB,1,0.9999999942216884,807.70544,61.58,21.25,33.05,Low
13096,High Revenue Loyal,0,2.4486302318073073e-08,185.22374,7.87,39.4,72.17,Medium
12887,High Revenue Loyal,0,4.708694013239576e-09,28545.006,7.98,71.78,74.63,Medium
14679,High Revenue Loyal,0,2.835335332970029e-09,32893.707,7.76,82.71,82.14,High
14703,At-Risk SMB,0,3.474787801509154e-08,52.42278,11.36,20.63,36.34,Low
12562,High-Growth Startup,0,3.086278465774088e-09,12758.523,10.89,47.63,56.21,Medium
12648,High-Growth Startup,0,3.1552092791655435e-09,9257.037,9.21,39.43,49.07,Low
11011,High-Growth Startup,0,5.781682518115872e-11,233.57199,8.89,34.24,59.82,Medium
14598,High Revenue Loyal,0,2.835335332970029e-09,31153.11,7.58,75.7,75.7,High
11635,Discount-Heavy Stable,0,3.8339917368209735e-09,5435.613,9.58,32.84,45.81,Low
10080,High-Growth Startup,0,2.6560646097188506e-08,400.64966,11.06,35.9,58.84,Medium
13916,At-Risk SMB,0,2.676888877407761e-08,905.6539,11.78,17.63,28.28,Low
13870,At-Risk SMB,0,5.4427952932504257e-08,31.189816,14.03,13.91,26.64,Low
10255,High Revenue Loyal,0,6.75715600130303e-10,161.45805,8.16,47.52,87.83,High
11593,Discount-Heavy Stable,0,7.676913991690265e-09,827.5004,9.18,25.86,34.77,Low
11535,High Revenue Loyal,0,2.9686655580456302e-09,21087.777,8.19,70.01,83.5,High
13607,High Revenue Loyal,0,2.9447753475831433e-09,3722.8179,6.99,49.04,83.49,High
10291,Discount-Heavy Stable,0,4.785214492202376e-09,3228.2993,9.03,33.93,53.86,Medium
10932,At-Risk SMB,0,4.2663956792973184e-08,16.55325,14.28,18.66,34.22,Low
10228,High-Growth Startup,0,4.039182083332075e-09,12127.485,9.42,44.83,55.28,Medium
12228,High Revenue Loyal,0,2.2143790079934673e-09,27696.68,7.87,78.49,86.09,High
11341,High Revenue Loyal,0,2.835335332970029e-09,2967.5305,6.96,38.82,64.24,Medium
13951,At-Risk SMB,0,3.4632917080977504e-09,4279.742,11.07,27.48,39.74,Low
11554,At-Risk SMB,1,0.9999999998811872,904.1098,62.46,19.37,30.34,Low
10927,High Revenue Loyal,0,6.762808876792847e-09,9525.889,7.76,52.57,75.47,High
14106,High Revenue Loyal,0,2.632145524252424e-09,513.39813,6.67,45.09,78.33,High
11701,Discount-Heavy Stable,0,1.172488849185816e-09,119.90037,8.44,27.69,45.81,Low
13878,Discount-Heavy Stable,0,6.793130489928508e-10,99.96492,8.38,27.25,44.37,Low
10352,High Revenue Loyal,0,3.8182470120124955e-09,123.16451,6.96,41.02,76.77,High
12457,High-Growth Startup,0,1.440919449676761e-09,322.75952,7.18,37.95,69.43,Medium
14605,High-Growth Startup,0,1.2594960024798064e-09,1195.9849,9.18,29.93,53.29,Medium
14506,At-Risk SMB,0,4.006318985874836e-08,621.56,13.06,18.85,29.11,Low
13410,High Revenue Loyal,0,9.287972798860383e-10,149.32332,7.47,40.83,76.44,High
14487,High-Growth Startup,0,1.0970576169352223e-09,339.9919,7.58,31.17,54.07,Medium
10394,High-Growth Startup,0,2.578218900803365e-09,13433.087,8.41,47.23,59.17,Medium
10832,High-Growth Startup,0,2.9447753475831433e-09,9610.35,8.3,52.74,75.15,High
14009,High Revenue Loyal,0,2.8340293517504907e-10,203.26662,7.47,42.86,78.52,High
13459,High Revenue Loyal,0,1.1714852609816014e-09,197.14827,6.96,36.54,65.42,Medium
13293,High-Growth Startup,0,2.835335332970029e-09,8311.524,8.27,45.72,64.27,Medium
13127,At-Risk SMB,0,1.8465577791955231e-09,1662.842,12.49,17.55,29.46,Low
14351,High Revenue Loyal,0,2.2143790079934673e-09,13498.445,7.76,54.18,69.56,Medium
11159,At-Risk SMB,1,0.9999999999550526,908.61755,65.32,17.64,33.42,Low
14519,High-Growth Startup,0,2.795175820489209e-09,11310.87,8.37,56.04,73.85,Medium
11033,At-Risk SMB,0,2.349328206856195e-09,2664.2073,9.36,25.47,41.16,Low
10725,High Revenue Loyal,0,2.2143790079934673e-09,16682.996,6.16,64.68,85.95,High
10469,High Revenue Loyal,0,6.902158554611017e-10,2218.025,7.36,44.05,81.52,High
10804,High-Growth Startup,0,6.356524418662261e-11,481.8619,8.3,37.84,66.64,Medium
13753,At-Risk SMB,0,1.6407531008869991e-09,1914.6371,16.44,14.68,23.88,Low
13131,At-Risk SMB,0,3.108120127262964e-07,-77.35791,8.49,14.23,22.45,Low
12188,High-Growth Startup,0,2.769819332743561e-09,4369.4663,7.36,34.6,55.18,Medium
13749,At-Risk SMB,0,3.9879216326561845e-09,2017.1738,11.17,14.88,19.92,Low
12446,High-Growth Startup,0,1.5456302946220202e-09,242.58275,9.36,36.62,59.18,Medium
12458,High Revenue Loyal,0,3.8339917368209735e-09,7599.401,7.87,53.27,83.7,High
12925,High Revenue Loyal,0,3.5935332202574615e-10,179.73119,7.9,39.71,71.13,Medium
13533,At-Risk SMB,0,8.848654352559257e-07,112.8577,14.65,17.0,29.63,Low
14221,High Revenue Loyal,0,3.219248305832246e-09,392.26178,8.16,47.94,90.33,High
13236,High Revenue Loyal,0,2.835335332970029e-09,17927.69,7.87,61.18,76.35,High
13693,High Revenue Loyal,0,2.5080371400912323e-09,18140.363,8.01,61.67,73.99,Medium
14920,At-Risk SMB,1,0.9999987943062584,59.310314,64.12,15.6,24.37,Low
13457,Discount-Heavy Stable,0,4.3516756660486575e-10,1925.1078,11.09,28.41,43.07,Low
12877,High Revenue Loyal,0,1.4226200981831273e-08,874.6369,7.36,46.27,84.85,High
13896,High-Growth Startup,0,4.407141309102075e-09,8189.68,7.29,45.41,60.39,Medium
14275,High Revenue Loyal,0,2.835335332970029e-09,6785.697,6.78,45.97,68.58,Medium
10085,High Revenue Loyal,0,1.5749443881055445e-08,920.31335,8.92,45.43,80.67,High
11584,High Revenue Loyal,0,4.859412676239628e-09,786.55206,7.76,42.14,70.45,Medium
10801,High-Growth Startup,0,2.927341812321542e-09,10918.184,8.96,43.9,52.26,Medium
14464,Discount-Heavy Stable,0,3.095185109509527e-09,7087.995,7.58,39.2,60.31,Medium
14567,High-Growth Startup,1,0.9999998777537524,40.066105,59.9,31.14,55.89,Medium
11426,At-Risk SMB,0,1.7846407156692674e-09,2116.7876,11.46,15.74,21.44,Low
12883,At-Risk SMB,0,6.937605413308042e-10,1771.7483,13.38,17.45,26.21,Low
10107,At-Risk SMB,0,6.2772931431524795e-09,1074.0524,10.37,12.81,20.19,Low
14161,At-Risk SMB,1,0.9999999893134682,449.42065,62.56,13.01,23.08,Low
11455,At-Risk SMB,0,1.723496232803843e-07,569.75116,12.09,11.42,20.35,Low
11282,At-Risk SMB,0,1.1537483278543969e-07,122.23356,10.59,20.61,34.61,Low
14814,Discount-Heavy Stable,0,2.471214507338004e-09,11146.802,9.87,42.99,46.52,Low
10765,Discount-Heavy Stable,0,3.8954609990207414e-09,7674.345,9.36,34.67,46.56,Low
13318,High Revenue Loyal,1,0.9999999999580048,1684.252,59.72,42.77,80.01,High
11539,Discount-Heavy Stable,0,4.5952969193922817e-07,271.79468,10.43,29.23,53.71,Medium
12330,At-Risk SMB,0,1.991260205889069e-08,21.41944,10.38,22.04,34.61,Low
10009,High Revenue Loyal,0,2.6646727122296632e-09,261.2785,7.36,39.64,75.6,High
10788,At-Risk SMB,0,8.876000477787548e-09,1526.5359,10.09,22.5,35.9,Low
11380,At-Risk SMB,1,0.9999999995860238,747.47375,57.29,14.77,19.43,Low
14733,At-Risk SMB,1,0.9999999960819002,-471.1047,61.98,10.48,14.69,Low
13290,At-Risk SMB,0,1.511441936282805e-07,8.93719,12.04,12.29,19.56,Low
10590,High Revenue Loyal,0,3.2591941586487253e-09,4149.531,7.76,37.87,57.03,Medium
12744,High-Growth Startup,0,2.459207749410243e-08,321.4063,8.84,34.01,58.43,Medium
13012,Discount-Heavy Stable,0,8.561058693520461e-09,180.84587,9.86,26.98,44.98,Low
11892,High-Growth Startup,0,4.673087228699132e-09,14141.502,7.58,42.11,43.19,Low
11758,Discount-Heavy Stable,0,2.2209610595537517e-09,361.19666,11.9,28.47,44.15,Low
10158,High-Growth Startup,0,4.0567496401770136e-10,2478.393,8.41,32.03,45.99,Low
13352,High Revenue Loyal,0,2.835335332970029e-09,3074.0386,7.47,47.19,80.35,High
10719,High-Growth Startup,0,2.835335332970029e-09,6983.9854,7.07,33.63,42.37,Low
10965,Discount-Heavy Stable,0,2.8135319656405654e-08,147.73067,8.67,26.13,43.16,Low
14012,High Revenue Loyal,0,2.052098261500738e-09,440.50433,7.07,42.51,78.4,High
10180,High-Growth Startup,0,2.814522037087419e-09,13105.577,7.61,48.46,58.05,Medium
13269,Discount-Heavy Stable,0,1.371335603095115e-07,-165.58028,8.96,33.58,56.62,Medium
13425,High Revenue Loyal,0,3.095185109509527e-09,27090.545,6.96,73.81,79.94,High
14095,High Revenue Loyal,0,9.071088956462871e-10,1754.0975,6.96,35.13,59.4,Medium
12187,Discount-Heavy Stable,0,6.524752175894123e-08,176.96776,8.52,31.9,52.16,Medium
12419,High Revenue Loyal,0,4.014321497417871e-09,21297.191,7.79,62.26,68.05,Medium
14685,Discount-Heavy Stable,0,5.2238608024178825e-09,3128.319,8.63,34.88,52.42,Medium
10498,High-Growth Startup,0,2.9422772664015116e-09,4972.647,8.67,35.69,48.45,Low
11727,At-Risk SMB,0,2.8208302841387912e-09,2005.9805,11.61,12.4,20.04,Low
12042,High-Growth Startup,0,5.281039478978666e-10,1879.0005,8.81,35.7,58.02,Medium
12898,High Revenue Loyal,0,3.8339917368209735e-09,20917.229,7.76,70.7,86.99,High
11748,At-Risk SMB,1,0.9999996396405952,3223.4233,62.77,23.61,29.27,Low
12843,At-Risk SMB,1,0.9999999986713568,872.05725,70.42,13.58,18.27,Low
14421,At-Risk SMB,0,2.2412344617628776e-10,1890.0469,12.36,14.02,21.56,Low
14029,At-Risk SMB,0,1.8258281074064438e-09,1911.3254,12.34,19.46,29.85,Low
11003,High Revenue Loyal,0,9.086362285575931e-10,963.47437,6.56,42.34,84.67,High
10030,High-Growth Startup,0,2.471214507338004e-09,8460.093,9.58,42.95,59.97,Medium
11096,At-Risk SMB,1,0.999999999888654,953.9804,62.41,14.38,22.98,Low
14483,High-Growth Startup,0,7.049696500324896e-10,276.19434,10.83,34.63,62.41,Medium
14264,Discount-Heavy Stable,0,1.162851019950549e-08,187.01721,9.87,35.31,56.07,Medium
13911,At-Risk SMB,1,0.9999999984206888,1597.1904,62.72,16.53,31.56,Low
11946,Discount-Heavy Stable,0,6.556702138454526e-09,5271.4873,9.78,42.27,62.08,Medium
14145,At-Risk SMB,0,5.6003088982332826e-08,1545.0638,13.11,18.85,27.69,Low
13172,High-Growth Startup,0,7.125848604076021e-10,335.0103,7.36,36.35,61.53,Medium
14175,High-Growth Startup,0,2.564252111009143e-07,224.70142,9.18,29.46,48.37,Low
11698,High-Growth Startup,0,2.6067779260164587e-09,11940.515,7.94,39.48,46.91,Low
14650,At-Risk SMB,0,3.6249159045698485e-09,1848.0309,14.29,20.02,33.15,Low
10539,High Revenue Loyal,0,2.835335332970029e-09,26544.166,7.07,75.46,86.91,High
14764,At-Risk SMB,0,6.306630105448725e-09,3233.2097,16.38,20.83,27.7,Low
13822,High-Growth Startup,0,3.178375180700205e-09,13335.913,7.87,60.28,74.89,Medium
14532,At-Risk SMB,1,0.999999998030672,-79.934975,61.92,16.81,30.31,Low
14819,At-Risk SMB,0,1.5182341335338626e-10,1514.9473,12.01,16.58,28.57,Low
13014,High-Growth Startup,0,3.986071308733056e-09,14809.164,9.18,52.22,64.21,Medium
13003,High Revenue Loyal,0,3.8339917368209735e-09,22862.844,7.36,62.76,68.86,Medium
10587,High Revenue Loyal,0,1.4602369749551184e-09,1085.06,6.89,35.1,64.87,Medium
10152,Discount-Heavy Stable,0,2.167899158732978e-09,7079.1504,9.07,39.16,47.51,Low
10722,At-Risk SMB,0,3.560877748830937e-09,2185.2317,17.18,20.88,34.97,Low
14258,At-Risk SMB,0,1.0675636904609853e-07,-41.27473,10.27,21.2,38.52,Low
14830,Discount-Heavy Stable,0,2.2114700246283065e-08,1245.8792,11.31,28.11,45.23,Low
11933,High-Growth Startup,0,7.456384268967533e-10,3147.7795,10.3,38.2,58.7,Medium
13358,At-Risk SMB,0,1.8759564776070333e-09,1756.3396,8.3,18.35,27.67,Low
14485,Discount-Heavy Stable,0,2.5354761467978527e-06,115.97669,9.31,30.72,51.47,Medium
12281,At-Risk SMB,0,1.7350277849225902e-07,-41.27473,11.54,15.11,29.72,Low
10081,High-Growth Startup,0,2.3642679938392328e-09,489.45367,9.21,33.02,59.23,Medium
14832,High Revenue Loyal,0,2.791872290083953e-09,5267.521,9.61,45.57,76.24,High
13493,Discount-Heavy Stable,0,2.6776418662025757e-09,9800.646,9.72,39.35,49.71,Low
11175,At-Risk SMB,0,7.689856694165277e-10,113.03704,8.96,8.33,14.81,Low
10878,At-Risk SMB,0,4.925939115530482e-07,-97.37772,12.99,14.87,29.28,Low
10492,High-Growth Startup,0,1.6604710467111435e-10,232.02963,8.34,46.09,78.04,High
10240,High Revenue Loyal,0,1.0080769946130107e-07,578.3304,7.47,37.53,67.4,Medium
14728,High Revenue Loyal,0,2.4620008509121662e-09,254.82387,7.98,36.32,66.53,Medium
12211,Discount-Heavy Stable,0,2.3094582787752973e-09,1388.1825,11.36,25.69,43.32,Low
12657,At-Risk SMB,0,1.0470826447340377e-07,799.0598,11.18,18.16,25.09,Low
12499,Discount-Heavy Stable,0,8.829226503077046e-09,159.66502,8.89,27.59,45.76,Low
14241,High-Growth Startup,0,3.273047757300404e-09,6523.7144,9.35,36.96,51.83,Medium
14266,At-Risk SMB,1,0.9999998623357316,31.200031,63.74,12.5,21.91,Low
12440,High-Growth Startup,0,3.2908307255230635e-10,365.3893,8.56,30.72,50.96,Medium
10813,Discount-Heavy Stable,0,3.4417866024753232e-09,72.52092,11.52,29.19,47.01,Low
12101,High-Growth Startup,0,4.708694013239576e-09,10996.839,8.16,46.18,58.98,Medium
10169,At-Risk SMB,0,2.140136411239552e-09,2048.5022,17.62,20.37,28.79,Low
12975,At-Risk SMB,0,3.6730110578130134e-07,1478.4276,12.7,18.88,26.12,Low
11184,High Revenue Loyal,0,1.5599590750460695e-08,-36.70923,7.18,41.3,73.67,Medium
13135,High-Growth Startup,0,3.5251835070886263e-09,259.20953,8.49,43.01,70.23,Medium
14160,High Revenue Loyal,0,2.161936119925217e-09,23290.506,6.81,66.18,72.12,Medium
14916,Discount-Heavy Stable,0,4.014233045723317e-09,7665.5117,9.1,30.54,36.35,Low
10374,At-Risk SMB,1,0.9999998700986494,674.5123,64.99,22.98,37.24,Low
14114,At-Risk SMB,0,3.1594443229305833e-09,2657.5156,14.12,15.92,16.15,Low
12727,High-Growth Startup,0,2.694456880956205e-09,8502.711,9.24,49.05,63.41,Medium
11648,High-Growth Startup,0,3.189820232349278e-09,9831.9795,7.58,46.91,66.55,Medium
10995,Discount-Heavy Stable,0,5.572636998548414e-10,1660.646,8.63,31.41,48.32,Low
11232,High-Growth Startup,0,1.5278190478907734e-08,7456.872,8.34,43.06,61.76,Medium
14237,At-Risk SMB,0,2.967863675206249e-09,3259.446,12.16,23.29,36.62,Low
12116,Discount-Heavy Stable,0,3.9940522956426865e-09,176.51558,8.52,28.86,45.06,Low
12222,At-Risk SMB,0,2.0171767695140308e-08,456.0065,14.17,23.9,42.66,Low
12779,High Revenue Loyal,0,2.835335332970029e-09,4276.1353,7.98,45.09,73.51,Medium
10811,High Revenue Loyal,0,6.651530216368616e-10,2900.1472,8.3,46.39,83.22,High
10671,High Revenue Loyal,0,2.835335332970029e-09,5110.302,7.18,54.3,90.99,High
11216,At-Risk SMB,0,5.792191730711964e-10,1558.588,13.69,22.18,38.45,Low
10829,Discount-Heavy Stable,0,2.980992359829206e-09,382.17984,9.47,30.72,52.44,Medium
10200,At-Risk SMB,0,7.751995158134472e-07,1377.9437,10.23,18.07,25.24,Low
14883,High-Growth Startup,0,4.80534237570734e-10,307.75876,9.03,36.59,65.04,Medium
10297,Discount-Heavy Stable,0,3.1577556940591234e-09,241.64932,8.8,35.7,66.54,Medium
14178,Discount-Heavy Stable,0,3.1539387471894806e-09,6791.53,8.9,36.33,47.46,Low
10912,Discount-Heavy Stable,0,4.528898014307851e-09,6186.151,10.88,31.89,45.41,Low
13795,High-Growth Startup,0,2.379149935306086e-09,8705.26,9.17,44.04,57.15,Medium
12345,High-Growth Startup,0,2.2979230825884444e-08,15551.391,7.47,57.36,71.81,Medium
10770,High-Growth Startup,0,2.304981316798284e-09,247.55408,10.95,32.89,57.05,Medium
11492,Discount-Heavy Stable,0,6.649939162447392e-10,2061.9011,10.34,27.85,48.8,Low
12348,Discount-Heavy Stable,0,2.562605716761666e-09,7862.4604,9.68,42.25,58.32,Medium
10562,High Revenue Loyal,0,2.835335332970029e-09,24071.979,7.58,66.6,76.53,High
10502,Discount-Heavy Stable,0,4.1927824848739286e-10,1694.8038,9.97,30.26,48.68,Low
10486,At-Risk SMB,0,4.0741348222269935e-08,4.325874,10.38,15.09,18.6,Low
13028,Discount-Heavy Stable,0,9.285647265756373e-08,183.15244,8.7,32.36,57.65,Medium
10916,Discount-Heavy Stable,0,6.183059156916402e-10,1936.9604,10.44,34.92,61.69,Medium
14261,Discount-Heavy Stable,0,4.0817591592321807e-10,141.01358,7.98,28.86,47.38,Low
11245,At-Risk SMB,0,6.26836287811815e-10,1528.1189,12.0,18.65,31.18,Low
11731,Discount-Heavy Stable,0,4.185405152616078e-09,5706.636,7.87,32.1,41.11,Low
14871,At-Risk SMB,1,0.9999999979227197,769.3893,67.6,19.97,31.8,Low
13562,At-Risk SMB,0,1.6865896095936678e-06,-171.31787,13.14,16.79,30.72,Low
11993,At-Risk SMB,0,7.057516054159603e-07,-92.2824,12.62,19.14,30.66,Low
10229,High-Growth Startup,0,5.604831246005592e-10,2951.4631,8.27,40.22,59.25,Medium
14547,Discount-Heavy Stable,1,0.9999999996665294,-282.86945,57.58,26.37,41.18,Low
11504,At-Risk SMB,0,4.408189762026106e-07,-2.2441401,14.26,7.94,14.07,Low
10839,At-Risk SMB,1,0.9999999986816888,755.38574,63.64,21.25,30.21,Low
13226,Discount-Heavy Stable,0,3.2509823506106634e-09,5664.605,6.46,34.05,43.25,Low
11243,At-Risk SMB,0,1.8896784424969403e-09,1981.0564,16.23,21.61,34.36,Low
11943,At-Risk SMB,1,0.9999999996211996,1422.5698,67.33,19.13,29.49,Low
10249,At-Risk SMB,1,0.9999999982521472,386.20142,67.26,15.65,19.13,Low
11878,At-Risk SMB,1,0.9999999983840862,697.82367,68.1,19.89,36.76,Low
10894,High Revenue Loyal,0,6.392424596005279e-10,-87.926636,6.56,37.39,71.61,Medium
14561,Discount-Heavy Stable,0,2.9047252014619184e-09,555.9349,9.07,27.22,44.56,Low
12652,At-Risk SMB,0,2.4553431203486295e-07,308.2492,12.53,19.71,33.52,Low
